"data.ad.id";"data.ad.name";"data.ad.first_shown_date";"data.ad.last_shown_date";"data.ad.estimated_audience";"data.advertiser.name";"data.advertiser.adv_biz_ids";"data.advertiser.registry_location";"data.advertiser.sponsor";"data.targeting.location.total_impressions";"data.targeting.location.data";"data.targeting.age";"data.targeting.gender";"data.targeting.target_audience_size";"data.targeting.audience";"data.targeting.interest"
1752180005988405;"brandesdirk";1670976000000;1671148800000;"1K-10K";"brandesdirk";7175256585915290000;"Germany";"brandesdirk";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1751772580372533;"brandesdirk";1670544000000;1670630400000;"0-1K";"brandesdirk";7175256585915290000;"Germany";"brandesdirk";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1751771726469173;"brandesdirk";1670544000000;1670803200000;"1K-10K";"brandesdirk";7175256585915290000;"Germany";"brandesdirk";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1752661059735606;"brandesdirk";1671408000000;1671494400000;"1K-10K";"brandesdirk";7175256585915290000;"Germany";"brandesdirk";"1K-10K";"[{'region': 'DE', 'impressions': '4K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1751843900184630;"brandesdirk";1670630400000;1670716800000;"1K-10K";"brandesdirk";7175256585915290000;"Germany";"brandesdirk";"1K-10K";"[{'region': 'DE', 'impressions': '5K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1766142707543094;"hansfriedlmdl";1684281600000;1684454400000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '6K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1765703658060857;"hansfriedlmdl";1683849600000;1684022400000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1763081826181173;"hansfriedlmdl";1681344000000;1681516800000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '4K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1762720558650421;"hansfriedlmdl";1680998400000;1681430400000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '9K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1762620589912118;"hansfriedlmdl";1680912000000;1681171200000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '6K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1762610461660213;"hansfriedlmdl";1680912000000;1681084800000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1769779918953489;"hansfriedlmdl";1687737600000;1687910400000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1769396386903058;"hansfriedlmdl";1687392000000;1687478400000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '4K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1768931510169653;"hansfriedlmdl";1686960000000;1687132800000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1768209723306037;"hansfriedlmdl";1686268800000;1686441600000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1767568310919222;"hansfriedlmdl";1685664000000;1685923200000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '10K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1774285644413969;"hansfriedlmdl";1692057600000;1692144000000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '4K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";;"No";
1775917287028753;"hansfriedlmdl";1693612800000;1693699200000;"1K-10K";"hansfriedlmdl";7219652234378760000;"Germany";"hansfriedlmdl";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";;"No";
1765779799994426;"martin.hagen";1683936000000;1684108800000;"1K-10K";"martin.hagen";7230492212512000000;"Germany";"martin.hagen";"1K-10K";"[{'region': 'DE', 'impressions': '3K'}]";"[{'region': 'DE', '13-17': False, '18-24': False, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";"3.4M-4.2M";"No";"Baby, Kids & Maternity"
1765256912579641;"martin.hagen";1683417600000;1683504000000;"1K-10K";"martin.hagen";7230492212512000000;"Germany";"martin.hagen";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"15.6M-19.0M";"No";"News & Entertainment"
1765309721460793;"martin.hagen";1683504000000;1683676800000;"1K-10K";"martin.hagen";7230492212512000000;"Germany";"martin.hagen";"1K-10K";"[{'region': 'DE', 'impressions': '3K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"15.6M-19.0M";"No";"News & Entertainment"
1770691940765713;"martin_hess_klartext";1688601600000;1688688000000;"0-1K";"martin_hess_klartext";7244970255188230000;"Germany";"martin_hess_klartext";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1758524160434229;"wolfgang.heubisch";1677024000000;1677456000000;"10K-100K";"wolfgang.heubisch";7135399917010440000;"Germany";"wolfgang.heubisch";"10K-100K";"[{'region': 'DE', 'impressions': '91K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1766042358902837;"wolfgang.heubisch";1684195200000;1684368000000;"1K-10K";"wolfgang.heubisch";7135399917010440000;"Germany";"wolfgang.heubisch";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1766041873984566;"wolfgang.heubisch";1684195200000;1684627200000;"10K-100K";"wolfgang.heubisch";7135399917010440000;"Germany";"wolfgang.heubisch";"10K-100K";"[{'region': 'DE', 'impressions': '30K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1764137441805370;"wolfgang.heubisch";1682380800000;1682640000000;"10K-100K";"wolfgang.heubisch";7135399917010440000;"Germany";"wolfgang.heubisch";"10K-100K";"[{'region': 'DE', 'impressions': '11K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1761781536451637;"wolfgang.heubisch";1680134400000;1680393600000;"1K-10K";"wolfgang.heubisch";7135399917010440000;"Germany";"wolfgang.heubisch";"1K-10K";"[{'region': 'DE', 'impressions': '6K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1765605262137402;"dr.oguzhanyazici";1683763200000;1684022400000;"10K-100K";"dr.oguzhanyazici";7230925094707560000;"Germany";"dr.oguzhanyazici";"10K-100K";"[{'region': 'DE', 'impressions': '74K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"16.4M-20.0M";"No";"Food & Beverage, Sports & Outdoors, Pets, Vehicles & Transportation, Beauty & Personal Care, Baby, Kids & Maternity, Tech & Electronics, Apps, Education, News & Entertainment, Appliances, Travel, Games, Apparel & Accessories"
1759630983541814;"olgapetersenafd";1678060800000;1678147200000;"1K-10K";"olgapetersenafd";7207448487162560000;"Germany";"olgapetersenafd";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1756510796118085;"marcelqueckemeyer";1675123200000;1675296000000;"10K-100K";"marcelqueckemeyer";7174778690809840000;"Germany";"marcelqueckemeyer";"10K-100K";"[{'region': 'DE', 'impressions': '18K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1753906076749877;"marcelqueckemeyer";1672617600000;1672790400000;"1K-10K";"marcelqueckemeyer";7174778690809840000;"Germany";"marcelqueckemeyer";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1753868625834038;"marcelqueckemeyer";1672617600000;1672790400000;"1K-10K";"marcelqueckemeyer";7174778690809840000;"Germany";"marcelqueckemeyer";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1755880533776437;"marcelqueckemeyer";1674518400000;1674691200000;"10K-100K";"marcelqueckemeyer";7174778690809840000;"Germany";"marcelqueckemeyer";"10K-100K";"[{'region': 'DE', 'impressions': '25K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1761534331218998;"marcelqueckemeyer";1679875200000;1680048000000;"1K-10K";"marcelqueckemeyer";7174778690809840000;"Germany";"marcelqueckemeyer";"1K-10K";"[{'region': 'DE', 'impressions': '8K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1757680931162165;"frank.rinck";1676246400000;1676332800000;"0-1K";"frank.rinck";7064661296678960000;"Germany";"frank.rinck";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"7.1M-8.7M";"No";"Appliances, Vehicles & Transportation, Tech & Electronics"
1755552014103605;"frank.rinck";1674172800000;1674259200000;"1K-10K";"frank.rinck";7064661296678960000;"Germany";"frank.rinck";"1K-10K";"[{'region': 'DE', 'impressions': '5K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"7.1M-8.7M";"No";"Tech & Electronics, Appliances, Vehicles & Transportation"
1752566017953845;"danielwald.mdl";1671321600000;1671408000000;"10K-100K";"danielwald.mdl";7037884927169270000;"Germany";"danielwald.mdl";"10K-100K";"[{'region': 'DE', 'impressions': '14K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1759472589958162;"SPD Frankfurt";1677888000000;1679788800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '53K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1759115309851697;"SPD Frankfurt";1677542400000;1677801600000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '36K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1758727142329346;"SPD Frankfurt";1677196800000;1677283200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '16K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1759147072005169;"SPD Frankfurt";1677628800000;1678060800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '57K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";"17.7M-21.7M";"No";
1758662794617873;"SPD Frankfurt";1677110400000;1677283200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '28K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"38.4M-46.9M";"No";
1758665572806674;"SPD Frankfurt";1677110400000;1677283200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '20K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"38.4M-46.9M";"No";
1759630983541814;"olgapetersenafd";1678060800000;1678147200000;"1K-10K";"olgapetersenafd";7207448487162560000;"Germany";"olgapetersenafd";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1758667818079265;"SPD Frankfurt";1677196800000;1677542400000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '57K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"38.4M-46.9M";"No";
1758841470332978;"SPD Frankfurt";1677283200000;1677715200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '53K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1759272300169250;"SPD Frankfurt";1677715200000;1677974400000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '42K'}]";"[{'region': 'DE', '13-17': False, '18-24': False, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"9.0M-11.0M";"No";
1759472349246466;"SPD Frankfurt";1677888000000;1677974400000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '11K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': False, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"14.5M-17.7M";"No";
1759062581196850;"SPD Frankfurt";1677542400000;1677628800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '20K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"38.4M-46.9M";"No";
1757667406093365;"daniel_liebetruth.spd";1676246400000;1676246400000;"0-1K";"daniel_liebetruth.spd";7181591082415800000;"Germany";"daniel_liebetruth.spd";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"15.6M-19.1M";"No";"Education, News & Entertainment, Sports & Outdoors"
1758108565323794;"SPD Frankfurt";1676592000000;1676851200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '43K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1757644012865589;"spd_frankfurt";1676160000000;1676160000000;"1K-10K";"spd_frankfurt";7198077933595080000;"Germany";"spd_frankfurt";"1K-10K";"[{'region': 'DE', 'impressions': '3K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
